game_name,publisher,developer,platform_id,rating,year,genre,game_id
God of War II,Sony Computer Entertainment,SCE Santa Monica,7,M,2007.0,Action,291
World Soccer Winning Eleven 9,Konami Digital Entertainment,Konami,7,E,2005.0,Sports,292
Fallout: New Vegas,Bethesda Softworks,Obsidian Entertainment,5,M,2010.0,Role-Playing,293
Forza Motorsport 2,Microsoft Game Studios,Turn 10,5,E,2007.0,Racing,294
Carnival Games,Take-Two Interactive,Cat Daddy Games,1,E,2007.0,Misc,295
Watch Dogs,Ubisoft,Ubisoft Montreal,10,M,2014.0,Action,296
Namco Museum Vol.3,Sony Computer Entertainment,,13,,1996.0,Misc,297
Tekken Tag Tournament,Namco Bandai Games,Namco,7,T,2000.0,Fighting,298
Far Cry 4,Ubisoft,Ubisoft Montreal,10,M,2014.0,Shooter,299
Star Fox 64,Nintendo,,12,,1997.0,Shooter,300
Golf,Nintendo,,2,,1984.0,Sports,301
Namco Museum: 50th Anniversary,Namco Bandai Games,Digital Eclipse,7,E10+,2005.0,Misc,302
Left 4 Dead 2,Electronic Arts,Valve Software,5,M,2009.0,Shooter,303
The Witcher 3: Wild Hunt,Namco Bandai Games,CD Projekt Red Studio,10,M,2015.0,Role-Playing,304
Assassin's Creed: Unity,Ubisoft,"Ubisoft, Ubisoft Montreal",10,M,2014.0,Action,305
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Rocksteady Studios,10,M,2015.0,Action,306
The Legend of Zelda: Skyward Sword,Nintendo,Nintendo,1,E10+,2011.0,Action,307
Fallout 3,Bethesda Softworks,Bethesda Game Studios,6,M,2008.0,Role-Playing,308
Professor Layton and the Diabolical Box,Nintendo,Level 5,4,E10+,2007.0,Puzzle,309
Donkey Kong Land,Nintendo,,3,,1994.0,Platform,310
EA Sports Active,Electronic Arts,EA Canada,1,E,2009.0,Sports,311
Tony Hawk's Underground,Activision,Neversoft Entertainment,7,T,2003.0,Sports,312
Monster Hunter 4 Ultimate,Nintendo,Capcom,11,T,2014.0,Role-Playing,313
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,15,M,2011.0,Role-Playing,314
NBA 2K16,Take-Two Interactive,Visual Concepts,10,E10+,2015.0,Sports,315
Tekken 5,Namco Bandai Games,Namco,7,T,2005.0,Fighting,316
Dragon Warrior III,Enix Corporation,,2,,1988.0,Role-Playing,317
MotorStorm,Sony Computer Entertainment,Evolution Studios,6,T,2006.0,Racing,318
Nintendogs + cats,Nintendo,,11,,2011.0,Simulation,319
World Soccer Winning Eleven 8 International,Konami Digital Entertainment,KCET,7,E,2004.0,Sports,320
Sports Champions,Sony Computer Entertainment,"SCEA, Zindagi Games",6,E10+,2010.0,Sports,321
Namco Museum Vol.1,Sony Computer Entertainment,,13,,1995.0,Misc,322
The Legend of Zelda: Link's Awakening,Nintendo,,3,,1992.0,Action,323
Call of Duty: Ghosts,Activision,Infinity Ward,10,M,2013.0,Shooter,324
Flash Focus: Vision Training in Minutes a Day,Nintendo,"Nintendo, Namco Bandai Games",4,E,2007.0,Misc,325
Tom Clancy's The Division,Ubisoft,Massive Entertainment,10,M,2016.0,Shooter,326
Big Brain Academy: Wii Degree,Nintendo,Nintendo,1,E,2007.0,Misc,327
Resident Evil Director's Cut,Virgin Interactive,,13,,1996.0,Action,328
Mario & Luigi: Bowser's Inside Story,Nintendo,,4,,2009.0,Role-Playing,329
LEGO Indiana Jones: The Original Adventures,Activision,Traveller's Tales,5,E10+,2008.0,Action,330
The Sims: Unleashed,Electronic Arts,Maxis,15,T,2002.0,Simulation,331
Ratchet & Clank: Size Matters,Sony Computer Entertainment,,17,,2007.0,Platform,332
Harry Potter and the Sorcerer's Stone,Electronic Arts,Argonaut Games,13,E,2001.0,Action,333
Mario & Sonic at the London 2012 Olympic Games,Sega,,1,,2011.0,Sports,334
Resident Evil 3: Nemesis,Eidos Interactive,,13,,1999.0,Action,335
Super Paper Mario,Nintendo,Intelligent Systems,1,E,2007.0,Platform,336
